days_into_transition,doc_id,indexed_cjk_chars,period,provenance_status,published_at,published_month,recommended_role,source,value_status,visibility_evidence,discourse_all_markers_per_10k_cjk,discourse_booster_markers_per_10k_cjk,discourse_causal_markers_per_10k_cjk,discourse_contrast_markers_per_10k_cjk,discourse_directive_markers_per_10k_cjk,discourse_enumeration_markers_per_10k_cjk,discourse_framing_markers_per_10k_cjk,discourse_hedge_markers_per_10k_cjk,discourse_marker_type_coverage,discourse_metadiscourse_markers_per_10k_cjk,discourse_summary_markers_per_10k_cjk,hypothesis_abstract_shells_per_1k_cjk,hypothesis_complete_contrast_frames_per_1k_sentences,hypothesis_emphatic_frames_per_1k_cjk,hypothesis_meta_frames_per_1k_cjk,hypothesis_referential_sentence_opening_ratio,surface_adjacent_sentence_length_change,surface_ascii_letter_ratio,surface_char_count,surface_cjk_char_count,surface_cjk_char_entropy_bits,surface_cjk_char_mattr,surface_cjk_char_type_token_ratio,surface_cjk_ratio,surface_colon_density,surface_comma_density,surface_compression_ratio,surface_dash_density,surface_digit_ratio,surface_exact_paragraph_repeat_ratio,surface_exact_sentence_repeat_ratio,surface_exclamatory_sentence_ratio,surface_list_item_ratio,surface_long_paragraph_ratio,surface_mean_paragraph_cjk_chars,surface_mean_sentence_cjk_chars,surface_mean_sentences_per_paragraph,surface_non_whitespace_char_count,surface_paragraph_count,surface_paragraph_length_cv,surface_paragraph_opening_repeat_ratio,surface_parenthesis_density,surface_period_density,surface_punctuation_density,surface_punctuation_entropy_bits,surface_question_sentence_ratio,surface_quote_mark_density,surface_repeated_char_ngram_ratio,surface_semicolon_density,surface_sentence_count,surface_sentence_length_autocorrelation,surface_sentence_length_cv,surface_sentence_opening_repeat_ratio,surface_short_paragraph_ratio,surface_url_count_per_1000_cjk,title_ascii_letter_ratio,title_body_cjk_type_overlap,title_cjk_char_count,title_colon_present,title_digit_present,title_exclamation_present,title_question_present,title_quote_present
,945a3a24dac5f42bd8f78a9b,1753,pre,model_assisted_original,2021-05-28,2021-05,pre_candidate_pool_not_matched,jiqizhixin,model_assisted_substantive,editorial_source_only_unverified,11.409013120365088,0.0,11.409013120365088,0.0,17.113519680547633,0.0,0.0,5.704506560182544,0.02564102564102564,0.0,0.0,5.134055904164289,0.0,1.1409013120365088,0.0,0.0625,0.5144251192484616,0.06505914467697907,2250,1753,8.132118119978136,0.47961722488038283,0.2812321734169994,0.7975432211101001,0.00045495905368516835,0.04686078252957234,0.5249390739236394,0.00045495905368516835,0.04322111010009099,0.14285714285714285,0.020833333333333332,0.0,0.0,0.0,35.775510204081634,36.520833333333336,1.5714285714285714,2198,49,0.9479056869925889,0.14285714285714285,0.0,0.023202911737943584,0.09372156505914468,2.3554931396599796,0.0,0.020018198362147407,0.044571428571428574,0.0,48,0.053715402951822824,0.4681641650684343,0.08333333333333333,0.3877551020408163,0.0,0.0,0.8636363636363636,22,0.0,0.0,0.0,0.0,1.0
,eb7467f671326d3eeabb4e37,2324,pre,model_assisted_original,2021-06-15,2021-06,pre_candidate_pool_not_matched,jiqizhixin,model_assisted_substantive,editorial_source_only_unverified,4.3029259896729775,0.0,4.3029259896729775,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,2.581755593803787,0.0,0.0,0.0,0.0,0.4869546212059121,0.11388508891928864,3055,2324,8.05891126216689,0.45780164383561645,0.22719449225473323,0.7948016415868673,0.0013679890560875513,0.0280437756497948,0.5103405572755418,0.002051983584131327,0.021203830369357045,0.02702702702702703,0.0,0.0,0.0,0.0,62.810810810810814,36.3125,2.2972972972972974,2924,37,1.0038199751141912,0.06060606060606061,0.011627906976744186,0.02222982216142271,0.070109439124487,2.769541029588259,0.0,0.0013679890560875513,0.05471779405428694,0.0,64,-0.081862512728939,0.4228022759403442,0.0625,0.43243243243243246,0.43029259896729777,0.0,0.96,27,0.0,1.0,0.0,0.0,0.0
,216b160343a34ae069db8db2,1936,pre,model_assisted_original,2021-06-24,2021-06,pre_candidate_pool_not_matched,jiqizhixin,model_assisted_substantive,editorial_source_only_unverified,46.48760330578513,5.1652892561983474,5.1652892561983474,0.0,15.495867768595042,36.15702479338843,5.1652892561983474,0.0,0.20512820512820512,0.0,0.0,7.747933884297521,0.0,0.5165289256198348,0.0,0.1111111111111111,0.5657752629601802,0.16492045013581685,2813,1936,7.98549421313243,0.4355601948503827,0.2308884297520661,0.7512611563833915,0.0038804811796662787,0.038804811796662786,0.48983074953776135,0.0011641443538998836,0.00892510671323244,0.32116788321167883,0.0,0.0,0.0,0.0,14.13138686131387,43.022222222222226,1.1167883211678833,2577,137,1.221399024819237,0.3076923076923077,0.0,0.019402405898331393,0.07489328676755917,2.6017447661436504,0.0,0.007760962359332557,0.05638903259182618,0.0,45,0.08483312240907605,0.5833013670211993,0.13333333333333333,0.6861313868613139,1.0330578512396695,0.0,0.8888888888888888,18,0.0,1.0,1.0,0.0,0.0
,4d0fe82ce27496e3c0dd8cd1,3556,pre,model_assisted_original,2021-06-25,2021-06,pre_candidate_pool_not_matched,jiqizhixin,model_assisted_substantive,editorial_source_only_unverified,44.99437570303712,5.62429696287964,2.81214848143982,11.24859392575928,16.87289088863892,16.87289088863892,8.43644544431946,30.93363329583802,0.2564102564102564,5.62429696287964,0.0,7.03037120359955,0.0,0.281214848143982,0.0,0.08974358974358974,0.5458051509795042,0.1927710843373494,5502,3556,8.26082887397815,0.4519044815178279,0.17125984251968504,0.7140562248995984,0.002008032128514056,0.038755020080321285,0.47692772449210785,0.0034136546184738957,0.02469879518072289,0.2109375,0.0,0.0,0.0,0.0078125,27.78125,45.58974358974359,1.390625,4980,128,1.3352261041977003,0.08888888888888889,0.002811244979919679,0.01606425702811245,0.06767068273092369,2.3766383288633244,0.0,0.002811244979919679,0.05826062482409232,0.0008032128514056225,78,-0.07562410649684151,0.5163597786523889,0.05128205128205128,0.5703125,0.0,0.10810810810810811,0.9230769230769231,26,0.0,1.0,1.0,0.0,1.0
,0bacfeaea20d086539948d1d,1580,pre,model_assisted_original,2021-07-20,2021-07,pre_candidate_pool_not_matched,jiqizhixin,model_assisted_substantive,editorial_source_only_unverified,63.291139240506325,0.0,0.0,6.329113924050633,18.987341772151897,44.30379746835443,6.329113924050633,0.0,0.20512820512820512,6.329113924050633,0.0,12.658227848101266,0.0,0.0,0.0,0.0,0.8243788091889358,0.4803484995159729,5572,1580,7.70752966760169,0.4044107308048104,0.24746835443037973,0.3059051306873185,0.012584704743465635,0.021878025169409485,0.4828964904486895,0.0505324298160697,0.030009680542110357,0.14835164835164835,0.0,0.03571428571428571,0.09340659340659341,0.0,8.68131868131868,56.42857142857143,1.0604395604395604,5165,182,2.725214741145166,0.02127659574468085,0.0313649564375605,0.013939980638915779,0.17463697967086156,3.729795513570768,0.07142857142857142,0.0003872216844143272,0.05833861762840837,0.001936108422071636,28,0.009162851420369935,0.7341444776638187,0.038461538461538464,0.19230769230769232,1.2658227848101267,0.375,0.9333333333333333,16,0.0,0.0,1.0,0.0,0.0
,9c3da0345e97764d38be7de1,2386,pre,model_assisted_original,2021-08-08,2021-08,pre_candidate_pool_not_matched,jiqizhixin,model_assisted_substantive,editorial_source_only_unverified,46.102263202011734,0.0,8.382229673093043,12.573344509639565,29.33780385582565,20.955574182732608,4.191114836546522,8.382229673093043,0.1794871794871795,0.0,0.0,1.6764459346186085,0.0,0.4191114836546521,0.0,0.07017543859649122,0.519593461860855,0.13623281100095938,3412,2386,7.668626721725037,0.38939586645469,0.17183570829840739,0.7630316597377679,0.00799488327470419,0.03517748640869843,0.45849297573435505,0.0009593859929645027,0.014390789894467541,0.20689655172413793,0.0,0.0,0.0,0.0,20.56896551724138,41.85964912280702,1.2672413793103448,3127,116,1.1703324782870181,0.11494252873563218,0.014710585225455708,0.019507515190278223,0.08410617204988807,2.9428417363498407,0.017543859649122806,0.0,0.0839278220730172,0.0009593859929645027,57,-0.12390118747156817,0.4385488520207405,0.07017543859649122,0.6551724137931034,0.8382229673093042,0.1794871794871795,0.875,25,0.0,1.0,0.0,0.0,0.0
,48fbbeedf363a19eeb696de3,1955,pre,model_assisted_original,2021-09-08,2021-09,pre_candidate_pool_not_matched,jiqizhixin,human_kept,editorial_source_only_unverified,10.23017902813299,0.0,0.0,0.0,10.23017902813299,5.115089514066495,5.115089514066495,5.115089514066495,0.05128205128205128,0.0,0.0,2.046035805626598,18.867924528301884,0.5115089514066495,0.0,0.11320754716981132,0.480680700373795,0.037793223284100785,2479,1955,8.38437265589821,0.5051524725274725,0.28286445012787725,0.8492615117289314,0.002172024326672459,0.04257167680278019,0.5394620159621638,0.0008688097306689834,0.029539530842745437,0.23255813953488372,0.0,0.0,0.0,0.0,22.732558139534884,36.886792452830186,1.255813953488372,2302,86,1.053331072395876,0.1323529411764706,0.0008688097306689834,0.023457862728062554,0.08340573414422242,2.3827305470165787,0.03773584905660377,0.01216333622936577,0.03483606557377049,0.0,53,0.04152662299956695,0.4624663290167106,0.0,0.5581395348837209,0.0,0.08,1.0,21,0.0,0.0,0.0,0.0,0.0
,87656219a78e7724554e9eb4,754,pre,model_assisted_original,2021-09-18,2021-09,pre_candidate_pool_not_matched,jiqizhixin,model_assisted_substantive,editorial_source_only_unverified,53.05039787798408,0.0,0.0,26.52519893899204,0.0,0.0,26.52519893899204,13.26259946949602,0.10256410256410256,0.0,0.0,2.6525198938992043,0.0,0.0,0.0,0.08333333333333333,0.5466497520470533,0.27765404602821087,1473,754,7.8357453471178315,0.5315921568627452,0.4416445623342175,0.5597624350408315,0.003711952487008166,0.032665181885671864,0.6360446570972886,0.012620638455827766,0.07349665924276169,0.0,0.0,0.0,0.0,0.0,37.7,31.416666666666668,1.5,1347,20,1.0749776629520664,0.0,0.004454342984409799,0.02301410541945063,0.08834446919079436,3.0096688846062647,0.041666666666666664,0.0,0.009320905459387484,0.0,24,0.14846314846769895,0.5025177762191868,0.0,0.35,2.6525198938992043,0.1875,0.9130434782608695,23,1.0,1.0,0.0,0.0,0.0
,70294f6e4051db3347bfcba2,2864,pre,model_assisted_original,2021-10-18,2021-10,pre_candidate_pool_not_matched,jiqizhixin,model_assisted_substantive,editorial_source_only_unverified,45.39106145251397,0.0,0.0,13.966480446927374,27.932960893854748,13.966480446927374,17.45810055865922,3.4916201117318435,0.15384615384615385,0.0,0.0,9.078212290502794,0.0,0.34916201117318435,0.0,0.15714285714285714,0.5044125981701887,0.22145328719723184,4282,2864,7.873395568431743,0.41097758985200844,0.16829608938547486,0.7078596144340089,0.0004943153732081067,0.02694018783984182,0.4218600191754554,0.002718734552644587,0.01532377656945131,0.0,0.0,0.0,0.0,0.13333333333333333,95.46666666666667,40.91428571428571,2.6,4046,30,0.8063770974442845,0.13333333333333333,0.002965892239248641,0.01730103806228374,0.05536332179930796,2.2718449798282148,0.0,0.004448838358872961,0.13142257951765118,0.0,70,-0.08197536201981968,0.41919862342029407,0.04285714285714286,0.3,0.0,0.34146341463414637,1.0,25,1.0,1.0,0.0,0.0,0.0
,ab6793878c91d69109ca6eef,2966,pre,model_assisted_original,2021-10-19,2021-10,pre_candidate_pool_not_matched,jiqizhixin,model_assisted_substantive,editorial_source_only_unverified,47.20161834120027,10.114632501685772,3.3715441672285906,0.0,13.486176668914363,33.715441672285905,10.114632501685772,3.3715441672285906,0.1794871794871795,0.0,0.0,8.428860418071476,0.0,0.6743088334457181,0.0,0.0967741935483871,0.5102528105413263,0.03585771658060815,3567,2966,8.250169846442578,0.4577713822456425,0.19251517194875253,0.8508318990246702,0.0011474469305794606,0.04847963281698221,0.4811085634532948,0.00028686173264486515,0.03298909925415949,0.0,0.0,0.0,0.0,0.0625,92.6875,47.83870967741935,2.09375,3486,32,0.7387984964264082,0.03125,0.002868617326448652,0.018646012621916237,0.07974756167527251,2.298724822942447,0.0,0.004016064257028112,0.0641241984475194,0.001434308663224326,62,0.2846786012504028,0.5303695103339989,0.06451612903225806,0.03125,0.0,0.0,0.92,25,0.0,1.0,0.0,0.0,1.0
