feature,combined_partial_spearman,infoq_partial_spearman,jiqizhixin_partial_spearman,source_direction_consistent,combined_feature_length_spearman,loo_direction_stability,permutation_p_value,bh_q_value,ranking_score
surface_quote_mark_density,0.2855092872052182,0.35491578151721187,0.22919835785775164,True,-0.13037058492893566,1.0,0.005398920215956809,0.2861427714457109,0.2855092872052182
surface_dash_density,0.25027627354234583,0.2213385719050714,0.2737540314744741,True,-0.25998977481545915,1.0,0.013797240551889621,0.3355995467573152,0.25027627354234583
surface_url_count_per_1000_cjk,0.24015882220601154,0.2039857506763377,0.26950678589989785,True,-0.3527027799176662,1.0,0.01899620075984803,0.3355995467573152,0.24015882220601154
surface_list_item_ratio,-0.22402034534977808,-0.1719915455683596,-0.2662323904554572,True,0.14987544644517065,1.0,0.03659268146370726,0.387882423515297,0.22402034534977808
hypothesis_emphatic_frames_per_1k_cjk,0.22149090203210564,0.2618696122067126,0.18873081641874523,True,0.18679140809547107,1.0,0.03199360127974405,0.387882423515297,0.22149090203210564
title_colon_present,0.20581137904549174,0.26773141142311446,0.15557437164477894,True,0.11378935988916918,1.0,0.046990601879624075,0.4150836499366793,0.20581137904549174
surface_long_paragraph_ratio,-0.18843473395109803,-0.21121178958701242,-0.16995523598233728,True,0.29265071928807124,1.0,0.07638472305538892,0.5288342331533693,0.18843473395109803
discourse_contrast_markers_per_10k_cjk,0.1739874046079561,0.07887875365971658,0.25115102707539566,True,0.3521325048339008,1.0,0.09658068386322735,0.5288342331533693,0.1739874046079561
title_question_present,0.17373733571115726,0.031730748890756784,0.28895022690506705,True,0.23019033128065447,1.0,0.09658068386322735,0.5288342331533693,0.17373733571115726
surface_comma_density,-0.17293256217653588,-0.14089136666246516,-0.19892824910304607,True,0.19832665560737084,1.0,0.09978004399120176,0.5288342331533693,0.17293256217653588
discourse_directive_markers_per_10k_cjk,-0.1589872442275262,-0.1964037399285308,-0.12863046469652248,True,0.4004997309803806,1.0,0.1247750449910018,0.5837665800173298,0.1589872442275262
hypothesis_abstract_shells_per_1k_cjk,-0.1555367179755336,-0.0846970535018376,-0.2130104080202303,True,0.24014545904353068,1.0,0.1321735652869426,0.5837665800173298,0.1555367179755336
surface_compression_ratio,0.15115546052047507,0.27509891937347913,0.05059755994162273,True,-0.7289120820350805,1.0,0.15256948610277946,0.6111444377791109,0.15115546052047507
title_quote_present,0.1459127879188183,0.19032557420382692,0.1098797726309811,True,0.056776720243086214,1.0,0.16256748650269945,0.6111444377791109,0.1459127879188183
surface_cjk_ratio,-0.13203051979149133,-0.17432439694752175,-0.09771661945735342,True,0.43880093768200357,1.0,0.20335932813437313,0.6160017996400721,0.13203051979149133
