feature_id,family,pattern,hedges_g,loo_stability,translation_removed_g,source_to_time_abs_g_ratio,pre_presence,post_presence,permutation_p_value,q_value,ranking_score
50877b5a63702941918b63d4,punctuation_run,”,1.2771894952810747,1.0,1.1826914163379174,0.0921864273712143,9,10,0.008198359981179237,0.959922602972177,1.1693878107926543
f759de06ea91ef4f3f99cfff,pos_4gram,X>VERB>DET>NOUN,1.1260551018014702,1.0,1.0799385398879036,0.0,0,5,0.032393522560596466,0.959922602972177,1.1260551018014702
b397e796de29508c05062511,pos_4gram,VERB>VERB>NOUN>PART,-1.294664564291418,1.0,-1.3330252011986028,0.1521151732360881,9,5,0.006798640359193087,0.959922602972177,1.123728420879081
9ac21a5a9caca18e38b005ea,pos_3gram,SCONJ>DET>NUM,1.044492061667123,1.0,0.9361651016802577,0.0,0,5,0.03459307923913002,0.959922602972177,1.044492061667123
f9c4ab4f91c4a4e3f3d83814,pos_4gram,SCONJ>DET>NUM>NOUN,1.0400486472073012,1.0,0.931519955057537,0.0,0,5,0.03459307923913002,0.959922602972177,1.0400486472073012
d10fcc2c9f7ede3fb57690a8,pos_4gram,VERB>SCONJ>NOUN>NOUN,1.5114433676785903,1.0,1.7822539964963955,0.46492889031018386,10,10,0.002999400021508336,0.959922602972177,1.0317520377105522
38af8c7c86ecb4d5524a1a7a,punctuation_run,，,-1.501716284556526,1.0,-1.5839960346471742,0.46717219853463393,10,10,0.002399520017206669,0.959922602972177,1.0235446705276952
18fe454b58fad3d460e69876,pos_3gram,ADV>VERB>PRON,1.0996096023275543,1.0,0.9956962557195588,0.0768971530400205,4,8,0.020395921543240547,0.959922602972177,1.0210906391788834
b7f3e05b93f849766b5548a2,pos_3gram,PART>PART>VERB,-1.0740771846543236,1.0,-1.0774750479430457,0.05880507731977415,6,3,0.022195560857653618,0.959922602972177,1.0144239082921747
b9992293d186869af4cd4948,pos_4gram,NOUN>ADV>VERB>PRON,1.247424669488391,1.0,1.1546367291898307,0.23816875780900726,1,7,0.005598880350589752,0.959922602972177,1.00747548476006
7ef16235b777e021c4ff8136,pos_4gram,NUM>NOUN>NOUN>ADP,1.154449710421118,1.0,1.112768962399067,0.15583612421535062,5,9,0.014997000806033611,0.959922602972177,0.9988005100678319
b3672912728d307462f9e64e,pos_2gram,VERB>PART,-1.1991129446409232,1.0,-1.1117966557483814,0.2549063976992977,10,10,0.012197560630738735,0.959922602972177,0.9555397492907326
78bbb563d0a1647e635ca948,dependency_path,parataxis>cc,-1.0225488792882644,1.0,-0.9911214892439144,0.07228013066204066,4,0,0.07978404313325882,0.959922602972177,0.9536210268644338
c3b3c3f05ec690cd75cfc403,pos_2gram,ADV>VERB,0.9670183321979556,1.0,0.8692133919157679,0.014837803652537488,10,10,0.035592880100011826,0.959922602972177,0.9528796904466181
5f45c493378ecde677e71dd1,dependency_treelet,PART>nmod>NOUN,-0.956118657517906,1.0,-0.8835721394780888,0.01026994038143089,10,10,0.0315936803817749,0.959922602972177,0.9463991942162707
c95e76dc1738b25f3d8f5d72,function_word,可以,-1.4171503261955207,1.0,-1.3860532058613413,0.5020943237560614,10,9,0.0031993601005524397,0.959922602972177,0.9434496248224052
a2ad35417115134dbc6d76ef,dependency_treelet,NOUN>appos>X,0.9457580506181456,1.0,1.1454493986681635,0.037422615313647746,8,10,0.040591880679130554,0.959922602972177,0.9116420219277861
7cd06c95ec7ca09edf475426,pos_4gram,VERB>VERB>DET>NUM,0.925139582734025,1.0,0.9822754818858253,0.01549169822610224,1,6,0.059788040816783905,0.959922602972177,0.9110262391608838
0b5934726a244d50903f503a,pos_4gram,AUX>X>NOUN>PART,-1.1892249958231662,1.0,-1.166895106127459,0.3142795570597258,6,2,0.011597679927945137,0.959922602972177,0.9048493445973331
80193780153d5560ca7a34e4,pos_3gram,VERB>PART>ADP,-1.0302040430738277,1.0,-0.9968742452303075,0.14355276248905904,8,5,0.02779444120824337,0.959922602972177,0.9008802014797146
8fc0f2196442ec865a46f3b3,pos_3gram,NOUN>PART>CCONJ,-1.018778046244727,1.0,-0.9860993287804185,0.1496250277504182,6,4,0.024795040488243103,0.959922602972177,0.8861829045582521
8383da654a20bed4093177bd,pos_3gram,PART>DET>NUM,0.9314630503431046,1.0,1.0585671370394993,0.05221275783508169,1,6,0.03619275987148285,0.959922602972177,0.8852421180100319
609b8b4a58fef41020d90c88,pos_2gram,PART>PART,-1.0496342150875109,1.0,-1.0071342127929106,0.20321559572351103,8,8,0.022995401173830032,0.959922602972177,0.8723575548872025
b2fc42c3b83ee7d5dfdd820d,pos_2gram,AUX>ADJ,-0.9067420371589417,1.0,-1.0083154615964285,0.04277974139791198,10,9,0.05418916046619415,0.959922602972177,0.869543203767458
4f1b51c7b983029b2c684155,pos_3gram,AUX>X>NOUN,-1.2953731295431516,1.0,-1.260312653606113,0.4993902076810682,8,4,0.01139772031456232,0.959922602972177,0.8639332996222205
7ad1e47d2ab91463108f780b,dependency_path,appos>punct,1.0781004618319634,1.0,1.304680155327276,0.2523708997666097,9,10,0.024795040488243103,0.959922602972177,0.8608475827990549
b0eb64ce5c338c88c0fc8a5c,function_word,每,1.069827868907125,1.0,1.1384853931485244,0.2594493799622479,2,7,0.01759648136794567,0.959922602972177,0.8494409429453951
78b963c294130c9b2cb1cb20,dependency_treelet,PART>nmod>PROPN,-1.219303896291255,1.0,-1.17352567668209,0.43827300289496307,9,3,0.0019996000919491053,0.959922602972177,0.847755533085189
3729eab2f27f482a3059ce48,function_word,正是,0.8405543706379975,1.0,0.8493711773951251,0.0,0,5,0.030593881383538246,0.959922602972177,0.8405543706379975
6ca5909987c2dc3ee65943ce,pos_4gram,ADV>VERB>ADP>NOUN,-1.0871968296440881,1.0,-1.1040641220500313,0.29434498480404525,6,4,0.023395320400595665,0.959922602972177,0.8399590854123657
78bae7fc65d8ccddf7453dca,dependency_path,nsubj>compound,-1.047562572349665,1.0,-0.962854230023215,0.25164304458635756,10,9,0.021795639768242836,0.959922602972177,0.8369499410240107
d0ef117cf3efa1f06a885981,pos_4gram,VERB>AUX>X>NOUN,-1.0780318141851648,1.0,-1.0337215987078427,0.2891668695300843,7,3,0.024995001032948494,0.959922602972177,0.8362236415353426
5e03c1631a197b26f8703b2d,dependency_path,amod>nsubj,1.2648493713020779,1.0,1.3325296542288718,0.5164089232422566,3,10,0.005398920271545649,0.959922602972177,0.8341083674169395
ae722ebda797029ddd122c7f,pos_4gram,NOUN>VERB>VERB>DET,0.9132396129331051,1.0,0.9386774355825854,0.10034684777744056,1,7,0.04999000206589699,0.959922602972177,0.8299561313577913
ac78e080bd3959bd05690369,pos_2gram,PROPN>CCONJ,-1.3004599463309519,1.0,-1.251036383867524,0.5747607708924952,7,1,0.0071985600516200066,0.959922602972177,0.8258142889817586
fb35a7b141b25e67c14517bd,pos_4gram,DET>NUM>NOUN>NOUN,1.0315561802774995,1.0,1.0059205828046187,0.2531837853514654,6,9,0.029994001612067223,0.959922602972177,0.8231483620642214
4d7ae013f476700b7ba5b178,pos_4gram,PART>DET>NUM>NOUN,0.8603434432411028,1.0,0.9749964705051617,0.0530723787452506,1,6,0.045990802347660065,0.959922602972177,0.8169841509528654
c545dd50e8adaa4f23abdf07,punctuation_run,：“,0.8153136508759036,1.0,1.1152892362676337,0.0,0,5,0.0349930003285408,0.959922602972177,0.8153136508759036
10adc9bc81c1242f9cc10b6c,punctuation_run,——,1.1235504903822973,1.0,1.1228503169589201,0.3881991493175528,3,8,0.004399120341986418,0.959922602972177,0.8093582905123099
7ad6a77694851b45756f3bf7,pos_4gram,NOUN>VERB>AUX>ADJ,-0.9656591957345648,1.0,-0.8783163915544916,0.20036569199412446,9,7,0.045790839940309525,0.959922602972177,0.8044708393242646
4027453b9f33d04a27eb1ec4,punctuation_run,“,0.8866454510710535,1.0,0.83253461347994,0.10238580552597008,9,10,0.05058988183736801,0.959922602972177,0.8042968683255292
