doc_id,source,period,published_at,title,url,cjk_chars,views,visibility_percentile_in_pilot_cell,visibility_evidence,article_type,translators,is_translation,translation_evidence,manual_quality_pass,manual_visibility_pass,suspected_promotion,exclusion_reason,reviewer_notes
e01565702d9af11416ae620d,infoq,pre,2021-10-30,九章云极公布开源AutoML力作：DAT大幅提升AI建模效率，建模时间节约10倍,https://www.infoq.cn/article/NIA5xjdHJEK3jB9VbFkY,3790,5210,1.0,page_view_snapshot,,[],False,[],,,,,
084c17f921cc74b858d04cdb,infoq,post,2026-05-22,阶跃星辰副总裁俞刚确认出席AICon上海站，分享多模态生成与理解的架构演进,https://www.infoq.cn/article/VcK5bVdskQZ2j7uEdbvN,746,10751,1.0,page_view_snapshot,,[],False,[],,,,,
1a5bf7a3c811a61f24384560,jiqizhixin,pre,2022-06-06,领克发布智能电混技术，全新设计语言概念车The Next Day亮相,https://www.jiqizhixin.com/articles/2022-06-06-21,1983,,,editorial_source_only_unverified,原创,[],False,[],,,,,
