doc_id,feature,value,huber_location,robust_scale,robust_z,huber_weight
089624981eae4b7dd6f3e566,discourse_all_markers_per_10k_cjk,62.639821029082775,40.876667142727754,19.22853141214044,1.131815707600752,1.0
089624981eae4b7dd6f3e566,discourse_booster_markers_per_10k_cjk,4.47427293064877,1.3390085906316258,2.203583209429566,1.4228027907458771,1.0
089624981eae4b7dd6f3e566,discourse_causal_markers_per_10k_cjk,4.47427293064877,5.198874034200515,6.379518072289156,-0.11358242038677034,1.0
089624981eae4b7dd6f3e566,discourse_contrast_markers_per_10k_cjk,4.47427293064877,9.554234113153703,12.401505646173147,-0.4096245510376803,1.0
089624981eae4b7dd6f3e566,discourse_directive_markers_per_10k_cjk,40.26845637583893,20.750962517489164,13.159733012504635,1.4831223277709253,1.0
089624981eae4b7dd6f3e566,discourse_enumeration_markers_per_10k_cjk,35.79418344519016,16.628538526350987,20.706703910614525,0.9255768084371271,1.0
089624981eae4b7dd6f3e566,discourse_framing_markers_per_10k_cjk,17.89709172259508,6.204555938508956,7.583631713554985,1.5418121852076334,0.972881142327979
089624981eae4b7dd6f3e566,discourse_hedge_markers_per_10k_cjk,0.0,7.686971311376156,7.583631713554985,-1.0136266635464986,1.0
089624981eae4b7dd6f3e566,discourse_marker_type_coverage,0.1794871794871795,0.13633769231216003,0.07603076923076925,0.5675266423262372,1.0
089624981eae4b7dd6f3e566,discourse_metadiscourse_markers_per_10k_cjk,0.0,0.5531489080778824,1.7516382089214966,-0.3157894736827318,1.0
089624981eae4b7dd6f3e566,discourse_summary_markers_per_10k_cjk,0.0,0.43493956416347324,1.3773086198694773,-0.31578947367997373,1.0
089624981eae4b7dd6f3e566,hypothesis_abstract_shells_per_1k_cjk,4.026845637583893,4.8688567918814725,2.323070207836685,-0.36245618038452926,1.0
089624981eae4b7dd6f3e566,hypothesis_complete_contrast_frames_per_1k_sentences,0.0,0.07010030576473539,1.028137817883511,-0.06818181818177008,1.0
089624981eae4b7dd6f3e566,hypothesis_emphatic_frames_per_1k_cjk,0.0,0.32042773834676574,0.36816488701266453,-0.8703375841915726,1.0
089624981eae4b7dd6f3e566,hypothesis_meta_frames_per_1k_cjk,0.447427293064877,0.00541605504833512,0.03791238533923833,11.658755682646845,0.1286586700013479
089624981eae4b7dd6f3e566,hypothesis_referential_sentence_opening_ratio,0.07547169811320754,0.08647522147311498,0.025245510835913296,-0.4358605944409827,1.0
089624981eae4b7dd6f3e566,surface_adjacent_sentence_length_change,0.5280846670108416,0.5265595327331531,0.04238117626391844,0.035986124315922935,1.0
089624981eae4b7dd6f3e566,surface_ascii_letter_ratio,0.0780399274047187,0.17822932121745388,0.12046407626597187,-0.8316951984218736,1.0
089624981eae4b7dd6f3e566,surface_cjk_ratio,0.8112522686025408,0.7026773346745797,0.13183120472394408,0.8235905463757096,1.0
089624981eae4b7dd6f3e566,surface_colon_density,0.0018148820326678765,0.0035571695381618473,0.0025262323235033675,-0.689678256937895,1.0
089624981eae4b7dd6f3e566,surface_comma_density,0.043557168784029036,0.03596777465935513,0.009558589913021002,0.7939867902833038,1.0
089624981eae4b7dd6f3e566,surface_compression_ratio,0.47934315130978755,0.5007805061586811,0.05205160173450275,-0.4118481302119784,1.0
089624981eae4b7dd6f3e566,surface_dash_density,0.001088929219600726,0.0037231604307269,0.0028380363948144207,-0.9281879597947954,1.0
089624981eae4b7dd6f3e566,surface_digit_ratio,0.035208711433756805,0.03000678997344892,0.021076277285585872,0.2468140549595774,1.0
089624981eae4b7dd6f3e566,surface_exact_paragraph_repeat_ratio,0.0,0.057966523413877376,0.04633125,-1.2511323008526076,1.0
089624981eae4b7dd6f3e566,surface_exact_sentence_repeat_ratio,0.0,0.0008008107847993317,0.003559159045477262,-0.2249999998783274,1.0
089624981eae4b7dd6f3e566,surface_exclamatory_sentence_ratio,0.0,0.0004337062993177228,0.0030359440993788823,-0.1428571426616366,1.0
089624981eae4b7dd6f3e566,surface_list_item_ratio,0.0,0.005918710005871962,0.016357752240959117,-0.3618290532027844,1.0
089624981eae4b7dd6f3e566,surface_long_paragraph_ratio,0.10714285714285714,0.004679990508387801,0.017354445000199076,5.90412811434154,0.25405952766444806
089624981eae4b7dd6f3e566,surface_mean_paragraph_cjk_chars,79.82142857142857,40.6980203429791,22.190729302325582,1.76305193468109,0.8507973988136248
089624981eae4b7dd6f3e566,surface_mean_sentence_cjk_chars,42.16981132075472,39.15033352686368,5.710588434782604,0.5287507282961783,1.0
