feature,minimum,q1,median,q3,maximum,huber_location,robust_scale
discourse_all_markers_per_10k_cjk,4.3029259896729775,20.222446916076848,46.102263202011734,55.762081784386616,95.09875640087785,40.876667142727754,19.22853141214044
discourse_booster_markers_per_10k_cjk,0.0,0.0,0.0,3.9416633819471816,10.114632501685772,1.3390085906316258,2.203583209429566
discourse_causal_markers_per_10k_cjk,0.0,0.0,4.3029259896729775,9.293680297397769,29.26115581565472,5.198874034200515,6.379518072289156
discourse_contrast_markers_per_10k_cjk,0.0,0.0,8.36470096194061,15.214910612400153,27.881040892193308,9.554234113153703,12.401505646173147
discourse_directive_markers_per_10k_cjk,0.0,12.547051442910915,18.987341772151897,33.50413874655104,73.1528895391368,20.750962517489164,13.159733012504635
discourse_enumeration_markers_per_10k_cjk,0.0,0.0,13.966480446927374,33.715441672285905,44.30379746835443,16.628538526350987,20.706703910614525
discourse_framing_markers_per_10k_cjk,0.0,0.0,5.115089514066495,10.114632501685772,26.52519893899204,6.204555938508956,7.583631713554985
discourse_hedge_markers_per_10k_cjk,0.0,0.0,5.115089514066495,23.86634844868735,44.69828656568165,7.686971311376156,7.583631713554985
discourse_marker_type_coverage,0.02564102564102564,0.05128205128205128,0.15384615384615385,0.1794871794871795,0.41025641025641024,0.13633769231216003,0.07603076923076925
discourse_metadiscourse_markers_per_10k_cjk,0.0,0.0,0.0,0.0,10.111223458038424,0.5531489080778824,1.7516382089214966
discourse_summary_markers_per_10k_cjk,0.0,0.0,0.0,0.0,10.080645161290322,0.43493956416347324,1.3773086198694773
hypothesis_abstract_shells_per_1k_cjk,1.6764459346186085,2.67022696929239,4.219409282700422,7.201390613359822,12.658227848101266,4.8688567918814725,2.323070207836685
hypothesis_complete_contrast_frames_per_1k_sentences,0.0,0.0,0.0,0.0,18.867924528301884,0.07010030576473539,1.028137817883511
hypothesis_emphatic_frames_per_1k_cjk,0.0,0.0,0.24832381425378697,0.6743088334457181,1.463057790782736,0.32042773834676574,0.36816488701266453
hypothesis_meta_frames_per_1k_cjk,0.0,0.0,0.0,0.0,0.447427293064877,0.00541605504833512,0.03791238533923833
hypothesis_referential_sentence_opening_ratio,0.0,0.07017543859649122,0.08823529411764706,0.10526315789473684,0.15714285714285714,0.08647522147311498,0.025245510835913296
surface_adjacent_sentence_length_change,0.34638162646251625,0.4910077500950932,0.519593461860855,0.5657752629601802,0.8243788091889358,0.5265595327331531,0.04238117626391844
surface_ascii_letter_ratio,0.03585771658060815,0.083668543845535,0.16492045013581685,0.27664516129032257,0.4803484995159729,0.17822932121745388,0.12046407626597187
surface_cjk_ratio,0.3059051306873185,0.5879569892473119,0.7140562248995984,0.7980691874497184,0.8508318990246702,0.7026773346745797,0.13183120472394408
surface_colon_density,0.0,0.0013679890560875513,0.003711952487008166,0.0050327126321087065,0.012584704743465635,0.0035571695381618473,0.0025262323235033675
surface_comma_density,0.021878025169409485,0.029199530122503776,0.03517748640869843,0.04257167680278019,0.054441260744985676,0.03596777465935513,0.009558589913021002
surface_compression_ratio,0.4218600191754554,0.45967378570784895,0.48983074953776135,0.5394620159621638,0.6360446570972886,0.5007805061586811,0.05205160173450275
surface_dash_density,0.0,0.0009593859929645027,0.002718734552644587,0.007225806451612903,0.0505324298160697,0.0037231604307269,0.0028380363948144207
surface_digit_ratio,0.005202215136767914,0.014390789894467541,0.029539530842745437,0.04322111010009099,0.09591397849462366,0.03000678997344892,0.021076277285585872
surface_exact_paragraph_repeat_ratio,0.0,0.0,0.03125,0.14285714285714285,0.32116788321167883,0.057966523413877376,0.04633125
surface_exact_sentence_repeat_ratio,0.0,0.0,0.0,0.0,0.034482758620689655,0.0008008107847993317,0.003559159045477262
surface_exclamatory_sentence_ratio,0.0,0.0,0.0,0.0,0.03571428571428571,0.0004337062993177228,0.0030359440993788823
surface_list_item_ratio,0.0,0.0,0.0,0.0,0.13076923076923078,0.005918710005871962,0.016357752240959117
surface_long_paragraph_ratio,0.0,0.0,0.0,0.0,0.13333333333333333,0.004679990508387801,0.017354445000199076
surface_mean_paragraph_cjk_chars,8.68131868131868,22.732558139534884,37.7,58.422222222222224,95.46666666666667,40.6980203429791,22.190729302325582
surface_mean_sentence_cjk_chars,23.982456140350877,35.90909090909091,40.27,43.022222222222226,56.42857142857143,39.15033352686368,5.710588434782604
surface_mean_sentences_per_paragraph,1.0604395604395604,1.2672413793103448,1.5,1.7777777777777777,2.6,1.569786974650427,0.3450879310344829
surface_paragraph_length_cv,0.47573123067716055,0.8173180727774751,1.0038199751141912,1.1703324782870181,2.725214741145166,1.0020469195151525,0.24687143720403323
surface_paragraph_opening_repeat_ratio,0.0,0.02127659574468085,0.08888888888888889,0.13333333333333333,0.3076923076923077,0.08266723365810803,0.08001333333333331
