doc_id,cohort,published_month,overall_typicality_weight,family_character_composition,family_dependency_relation,family_dependency_syntax,family_discourse_and_stance,family_discourse_graph,family_document_structure,family_punctuation,family_repetition_and_regularity,family_rhetorical_hypothesis,family_title_form,family_token_and_lexical,family_universal_pos
48a7a6192771112323fd6820,post,2026-02,0.8607897030540456,0.7338110875835634,0.896928922167677,0.7939285785055868,0.9058858633675674,0.8239158081843785,0.7809844329067438,0.8682573693352823,0.9114875286759028,1.0,0.9844214551054264,0.7263860494862379,0.9034693413301794
b186cdd4f9004e0413395bf3,post,2026-05,0.8838223273857059,0.8311613102664308,0.8612393876286655,0.9149697859826676,0.8375473911077909,0.9283823242609055,0.8318159695417803,0.9753654700385985,0.9261017876275045,0.8517032162393212,0.9679696102771945,0.8001147180468916,0.8794969576107192
084c17f921cc74b858d04cdb,post,2026-05,0.8887105040500267,0.9537586813810568,0.8874586618096597,0.8241849384693888,0.9247611487184056,0.8833241148255532,0.7762001389872544,0.9755645638479117,0.8829369966831123,0.8710589692809101,0.9204888636361666,0.9255543732287755,0.8392345977321258
3c60dc0a981b686870095450,post,2026-06,0.9066157149216426,1.0,0.932505825800884,0.9746392956848832,0.7727777749215761,0.8944252795996193,0.9562752335447016,0.8466534950019888,1.0,0.6142001582876291,0.9268748568571964,1.0,0.9610366593612316
213dcab213f816c7c548fc09,post,2026-04,0.9392976461765836,0.9727093439696721,0.955139736418288,0.9461374846049891,1.0,1.0,0.7533867735821221,0.8199232101467865,0.8652336035867562,1.0,1.0,1.0,0.9590416018103891
a127f5baf364930a89fb4005,post,2025-10,0.9427290517589456,0.8956874059000549,0.9776270774917781,0.9165024132940588,0.9281179236088708,0.9210489753286266,1.0,0.9142558778669909,0.910595746038415,0.9988812520225686,0.9517473276696259,0.9593188122922842,0.9389658095940737
0431c592d5de8246cebcb8e2,post,2025-10,0.94516698364195,0.9203866420705855,0.9984704695980952,0.9920908154735104,0.6603809534522962,0.9651562770429192,0.93500269033136,1.0,1.0,1.0,0.877242041783932,0.9932739139507007,1.0
44aa81958a6c585ee8c06847,post,2026-01,0.9482231890595963,0.9176852282752318,0.9707289388727065,0.9718174440375079,1.0,0.9845631519848409,0.9299668039789856,1.0,1.0,0.7918609056796077,0.82587556668426,0.9953994904302015,0.9907807387718133
48bda219eb0776f623161899,post,2026-01,0.9717277433777851,0.9507985803938576,0.9875771220570675,0.9592008517980878,0.9626377824112192,0.9806090301519033,1.0,1.0,1.0,1.0,0.8463855275031763,1.0,0.9735240262181094
b77b09a419c1631227112f0c,post,2026-03,0.9787845391046046,1.0,0.9800416034395719,0.9022103787890834,0.9901140689450977,0.9548655121698351,0.9523172908437808,1.0,1.0,1.0,1.0,1.0,0.9658656150678872
be3e4a9eccc5d3a7e69212c3,pre,2021-11,0.8975862806623054,0.8712762903037132,0.9363558591165867,0.9740460752228024,0.9454738286806158,0.9119165747536065,0.8557750559647777,0.7550213025346508,0.8205193536890317,1.0,0.8326309998511079,0.9121405185448345,0.9558795092859378
0dfc33ff7071975b48e12981,pre,2021-10,0.9194551927594973,0.946394390973424,0.9429962602211858,0.8932966978046305,0.9434691622318018,0.9506145432457409,1.0,0.8505877123525425,0.911444404241427,0.8629412935405597,0.8505870065762462,0.9348163776842408,0.9463144642421677
a05a8bb2f7fe7bfe85ba7e46,pre,2022-04,0.9336753999414197,1.0,0.9440131602171656,0.9225294103600408,1.0,0.9441968187731649,0.783930379730294,0.9284112783479598,0.8493258037033974,1.0,0.8990007098270636,1.0,0.9326972383379498
9e271d7b118c949e83c9ff8d,pre,2022-06,0.9378947210533687,1.0,0.9620610245275463,0.9713767833036311,0.9533819122592316,1.0,0.9210880213478565,0.9828405373306198,0.8935522065648227,0.8384011357233669,0.803388857067155,0.9762344119419726,0.9524117625742218
73e9f6e61e27e1e32264551f,pre,2021-07,0.9558953552507609,1.0,0.9757535966344728,0.9990213397967659,0.9125715675032837,0.9395260127786047,0.9863602182872614,1.0,1.0,0.8571700529072983,0.8948444671343909,0.9221897761976454,0.9833072317694083
81938af852e380b36bede22b,pre,2022-01,0.9589248730270588,0.9100555697806989,0.9843970529985707,0.9871773183568203,0.9671897478466737,1.0,0.991676988181665,0.9000966504339737,0.9120575809290367,0.984357245703279,0.9679696102771945,0.9188308142691987,0.9832898975475939
2d8b8db77aefcdcbf86f23b4,pre,2022-01,0.9654200951922816,0.9636603849944583,0.9710320153013163,0.9803304102316948,0.9008240505471398,0.9640858852984908,0.8736276620271357,0.9655896383743054,1.0,1.0,1.0,0.9836834867684591,0.9822076087643777
7d5e92ccde58b3b78616293c,pre,2021-07,0.9657655645597308,1.0,0.989458671772452,1.0,1.0,0.899370817768341,0.923026825884102,1.0,0.8639599076255223,0.9864956948091569,0.9268748568571964,1.0,1.0
bf1abf6ca461ec0bbac14bd7,pre,2022-01,0.9732721669413688,1.0,0.9782265536697282,0.9858627514232795,0.9739558106128592,0.9912887631837201,0.9148080755490356,0.9929850421406334,0.8596399636163979,1.0,1.0,1.0,0.9824990431007712
d8917e9eedea037e2ed53511,pre,2021-10,0.976127853374086,0.9415542521842065,0.9780813082317463,1.0,1.0,0.9526342270303907,1.0,0.988739204327152,1.0,1.0,0.9115037300972192,0.9775970087641145,0.9634245098542039
