feature,pre_mean,post_mean,robust_effect_post_minus_pre,unweighted_hedges_g,direction_matches_unweighted,translation_removed_robust_effect,translation_removed_direction_consistent,loo_direction_stability,permutation_p_value,bh_q_value
relation_support_emphasis_count,0.9,7.3,1.2255681626734716,0.643537261600852,True,1.2242905552657601,True,1.0,0.05618876224755049,0.5056988602279544
relation_support_indeterminate_ratio,0.5998030332240859,0.40680217162975785,-1.1339326139754409,-1.0685329386885145,True,-1.0527351644908318,True,1.0,0.03239352129574085,0.5056988602279544
relation_support_mean_payload_gain,11.490360709465973,8.226176203537431,-0.8286446032208421,-0.7536130134330493,True,-0.7870228272004495,True,1.0,0.1225754849030194,0.5515896820635873
relation_support_determinate_ratio,0.4001969667759141,0.4931978283702422,0.8023501524082576,0.4779844472863855,True,0.6330996955344085,True,1.0,0.1225754849030194,0.5515896820635873
relation_support_inference_count,0.2,0.4,0.7720935687546283,0.4063374179212837,True,0.6366560156817503,True,1.0,0.6196760647870426,0.9295140971805639
relation_support_contrast_count,4.5,17.1,0.7627355666662268,0.6479578886813111,True,0.6547534078529819,True,1.0,0.1967606478704259,0.5902819436112777
relation_support_supported_ratio,0.24853691922112975,0.3589525380841613,0.6405127995801047,0.5325418176651656,True,0.6832145137549257,True,1.0,0.18056388722255548,0.5902819436112777
relation_support_mean_anchor_score,0.05421324355525792,0.04462985142118942,-0.5805589931353244,-0.2636174519280553,True,-0.4737428093940614,True,1.0,0.241751649670066,0.6216470991515982
relation_support_clarification_count,0.3,0.6,0.5343501268665969,0.3447887323943662,True,0.4336103732244551,True,1.0,0.47330533893221355,0.8481212848339422
relation_support_problem_count,1.4,6.4,0.46921459006760574,0.6273508366775901,True,0.0624193019974835,True,1.0,0.47530493901219756,0.8481212848339422
relation_support_instance_count,9.1,30.8,0.4684906645455295,0.5797927983397136,True,0.1590392006028851,True,1.0,0.5182963407318536,0.8481212848339422
relation_support_causal_count,3.2,5.4,-0.4188344256887188,0.2561449825596696,False,-0.5869339700839797,True,1.0,0.7190561887622475,0.9408118376324734
relation_support_problem_ratio_determinate,0.39666666666666667,0.2682711434906557,-0.36446533207512055,-0.3776126806262328,True,-0.36308126980863553,True,1.0,0.47170565886822635,0.8481212848339422
relation_support_instances_per_100_sentences,15.480158856761259,14.640989029996344,0.28004215875658495,-0.08885245353349513,False,-0.0020729233352932276,False,0.85,0.8058388322335532,0.9408118376324734
relation_support_contrast_problem_ratio,0.2752380952380952,0.23970238095238097,-0.05529483854976696,-0.1521590417030115,True,-0.15820212175531856,True,0.85,0.8812237552489502,0.9408118376324734
relation_support_problem_per_100_sentences,2.0453470934886906,2.1950522247694866,0.04480164919721404,0.07317368752900909,True,-0.11994023984747647,False,0.65,0.911617676464707,0.9408118376324734
relation_support_problem_ratio,0.1516600475547844,0.13424529028608087,-0.03246559824548392,-0.12594322848864734,True,-0.04567867772889997,True,0.6,0.9408118376324736,0.9408118376324734
relation_support_type_mismatch_ratio,0.1516600475547844,0.13424529028608087,-0.03246559824548392,-0.12594322848864734,True,-0.04567867772889997,True,0.6,0.9408118376324736,0.9408118376324734
